Type_of_payment_code,Vehicle_code,id,
PTE,VC965,PC2C2EF9A,
PTP,VC965,PC2C2EF9E,
PTE,VC965,PCEECA8B2,
PTP,VC965,PC3E1512A,
PTE,VC965,PCC943ECD,
PTE,VC965,PCC422F4D,
PTE,VC965,PCDBC3AC9,
PTE,VCD2F,PC627AA14,
PTP,VC965,PCC6DD8D5,
PTC,VC965,PC5F47DCF,
PTE,VC965,PC6E93A05,
PTC,VCD2F,PC99B9343,
PTP,VCD2F,PCC1F6F13,
PTE,VC965,PC425C6EC,
PTC,VCD2F,PCEF5C190,
PTE,VC965,PCECEBBFA,
PTC,VC965,PC4D892D7,
PTP,VCB43,PCC422F4D,
PTP,VCD2F,PC4967767,
PTP,VC965,PC03C5C15,
PTC,VC965,PCED7EAFE,
PTP,VC965,PC5D4821F,
PTP,VC965,PC92C5115,
PTP,VC965,PCDFBBEBB,
PTE,VC965,PCA26D872,
PTP,VC965,PCAC9371E,
PTE,VC965,PCC4F7DCE,
PTP,VC965,PC77793DF,
PTE,VC965,PCF4A9637,
PTE,VC965,PC628DCED,
PTE,VCB43,PCF1366ED,
PTE,VC965,PCE6675F9,
PTP,VCB43,PC6594AD4,
PTE,VCB43,PC1EE951B,
PTE,VCB43,PC4BFE950,
PTC,VCD2F,PCAACD453,
PTP,VC965,PC4E572D8,
PTE,VC965,PC5631507,
PTC,VC965,PCCB2657A,
PTE,VC965,PC7D68CD9,
PTC,VCD2F,PCF5D4B0A,
PTE,VC965,PC8C9B099,
PTP,VC965,PCE60D320,
PTE,VC965,PC8F8E598,
PTP,VC965,PCBABF130,
PTP,VCB43,PCDF04952,
PTC,VC965,PC356AE8F,
PTE,VCD2F,PCB99E8F9,
PTE,VC965,PC2294422,
PTP,VC965,PC51A39A7,
PTC,VC965,PCEF5C190,
PTC,VC965,PCA37D114,
PTP,VCD2F,PCFE28E92,
PTP,VC965,PC2C2EF9E,
PTC,VC965,PC685427C,
PTP,VCB43,PC803F0F2,
PTC,VC965,PCAD3B9BC,
PTC,VC965,PCB905D54,
PTE,VC965,PCD0DDD3D,
PTC,VC965,PC0671DD4,
PTC,VC965,PCA2D76A5,
PTP,VCB43,PC0A326BE,
PTP,VCB43,PC6EFC03B,
PTC,VCD2F,PC89C35AD,
PTC,VC965,PCA24C1E1,
PTC,VC965,PC2E2E0C0,
PTC,VC965,PCA35B156,
PTE,VC965,PC82A16E6,
PTP,VCD2F,PC869BDE8,
PTP,VC965,PCAD9E1F9,
PTP,VC965,PC05B8749,
PTC,VC965,PC41EEC34,
PTC,VC965,PC36C9AE8,
PTP,VC965,PCD987A9D,
PTE,VC965,PC08F56A1,
PTP,VC965,PC88EA64E,
PTE,VC965,PC4AC8EAD,
PTE,VC965,PC5B2AFFA,
PTC,VC965,PC89FB76E,
PTE,VC965,PCE2D63A7,
PTP,VCB43,PC3A63A79,
PTC,VCB43,PC6150735,
PTC,VC965,PCE49911B,
PTC,VCB43,PC8111910,
PTC,VC965,PC7241796,
PTP,VC965,PCAFC8A56,
PTP,VC965,PC10C700F,
PTE,VC965,PCE6EEF2E,
PTC,VC965,PC2CE9851,
PTE,VC965,PC8806694,
PTC,VCB43,PCCA836C9,
PTP,VCB43,PC787D664,
PTP,VCD2F,PC585BD38,
PTC,VC965,PC07BF95F,
PTE,VCB43,PC524833E,
PTP,VC965,PCFF02057,
PTC,VCB43,PC59F4E22,
PTC,VC965,PC3DE08BF,
PTP,VCB43,PCB905D54,
PTC,VC965,PCC9875AC,
PTP,VCB43,PC3E35002,
PTE,VC965,PC2D22627,
PTE,VC965,PCB070250,
PTP,VCB43,PC308070B,
PTE,VCB43,PCD30AB50,
PTP,VCB43,PC8140983,
PTE,VC965,PC3777B8E,
PTC,VC965,PC65C93B7,
PTP,VC965,PCFE28E92,
PTP,VC965,PC016D687,
PTC,VC965,PC6713209,
PTP,VC965,PCEC57A8E,
PTP,VCD2F,PC3BD7D63,
PTE,VC965,PC9EBEDB5,
PTE,VCB43,PC4A5D62F,
PTC,VC965,PC210A754,
PTE,VCB43,PCA491459,
PTC,VC965,PCAD3B9BC,
PTE,VCD2F,PC77793DF,
PTC,VCB43,PC0F226DF,
PTC,VCD2F,PC98750ED,
PTE,VC965,PC9EBEDB5,
PTE,VCD2F,PC546F252,
PTP,VC965,PC0AE9E1B,
PTE,VCB43,PC8BCEB19,
PTP,VC965,PC546F252,
PTE,VC965,PC0F0AB4E,
PTE,VCB43,PCF1979AE,
PTP,VCD2F,PC461DCD3,
PTC,VC965,PCBF83C7A,
PTC,VC965,PCC1F6F13,
PTE,VC965,PCCA836C9,
PTC,VC965,PC4779D38,
PTP,VC965,PC3E78C17,
PTE,VC965,PC09BDC08,
PTE,VC965,PC9E503B6,
PTE,VCD2F,PC857F4A0,
PTP,VC965,PC15EC378,
PTE,VC965,PCC591410,
PTE,VCB43,PC30AAE76,
PTP,VCB43,PC5FBE4B8,
PTP,VCB43,PCACF7982,
PTC,VCD2F,PCF3AE602,
PTE,VC965,PCE3427C5,
PTE,VCB43,PC1085B78,
PTC,VCD2F,PCC1ED0C5,
PTE,VC965,PCBD66B01,
PTE,VC965,PC12EEFE0,
PTE,VC965,PCA3797CA,
PTC,VCB43,PCA276EBB,
PTE,VCD2F,PCD83DE25,
PTP,VC965,PC9042B3F,
PTP,VCD2F,PC7ACFF7C,
PTC,VC965,PCED7EAFE,
PTP,VC965,PCCF6A454,
PTE,VCB43,PC11DCA73,
PTE,VCB43,PC40C2E00,
PTP,VC965,PCC7106FF,
PTC,VC965,PCA4D3E9B,
PTP,VCD2F,PCBD5C822,
PTC,VC965,PCD483999,
PTP,VC965,PC821BC98,
PTC,VC965,PCB33ACE8,
PTE,VCB43,PC84E8CEF,
PTP,VC965,PC9DFEBB0,
PTE,VCB43,PC821BC98,
PTP,VCB43,PC94168A2,
PTC,VCB43,PC485BE5B,
PTC,VCB43,PC250A90D,
PTE,VC965,PC627AA14,
PTC,VCB43,PC5680D80,
PTC,VC965,PC90346C9,
PTE,VC965,PC4D8469D,
PTP,VC965,PC17D596F,
PTP,VC965,PCB4CDDA5,
PTE,VCB43,PC1BDA119,
PTP,VC965,PC7D7AE48,
PTP,VCB43,PC2BBEEDC,
PTE,VC965,PCF0FC9B2,
PTC,VC965,PC4AC8EAD,
PTC,VC965,PCE4A44BE,
PTE,VC965,PC845CEA6,
PTE,VC965,PCA35B156,
PTP,VC965,PC81E83B9,
PTP,VCB43,PC4779D38,
PTC,VC965,PC926F0A9,
PTC,VCD2F,PCCA71D2C,
PTP,VCB43,PCF1979AE,
PTE,VC965,PCFFF6463,
PTE,VC965,PC0AE9E1B,
PTC,VC965,PCF135377,
PTC,VCD2F,PC4A40D50,
PTP,VC965,PC797AEBF,
PTC,VCB43,PCF6B0D12,
PTE,VC965,PC6E93A05,
PTP,VC965,PCAA68777,
PTP,VCB43,PC07F012A,
PTC,VCB43,PCC9875AC,
PTE,VC965,PC524833E,
PTE,VC965,PCFDB2950,
PTE,VCB43,PCE3427C5,
PTP,VC965,PC5D41947,
PTE,VC965,PC2CE9851,
PTE,VC965,PC03A5F23,
PTP,VC965,PC1E2B07E,
PTE,VCD2F,PC8A7A22A,
PTP,VC965,PC953B572,
PTE,VCB43,PC4967767,
PTP,VCB43,PC5030572,
PTP,VC965,PC0A50259,
PTC,VC965,PCA4D3E9B,
PTP,VC965,PCA50FB36,
PTP,VCB43,PC40BD0F3,
PTC,VC965,PC86B0D7B,
PTE,VC965,PC8F4AF85,
PTP,VC965,PCDED6F20,
PTP,VC965,PC76FDDEA,
PTC,VC965,PC0606D6A,
PTE,VCD2F,PC0DB49FD,
PTC,VC965,PCFB11406,
PTE,VCB43,PCB6A16D7,
PTC,VC965,PC6B14C5D,
PTE,VC965,PC08EA270,
PTE,VC965,PCDB12C82,
PTC,VC965,PC524833E,
PTP,VCB43,PC19CE0DB,
PTC,VC965,PCD6E5E77,
PTE,VC965,PCDE850D8,
PTC,VCB43,PC953B572,
PTC,VC965,PCCD7399B,
PTC,VCB43,PC461DCD3,
PTE,VC965,PC4AC8EAD,
PTC,VCB43,PC0BD172F,
PTC,VC965,PC0214185,
PTE,VCB43,PCA0BAE0F,
PTC,VC965,PCEDD7E85,
PTP,VC965,PC4156AD5,
PTE,VC965,PC627AA14,
PTP,VC965,PC161AC8D,
PTE,VCB43,PC585BD38,
PTE,VC965,PCDEB8E32,
PTE,VC965,PC2E0C888,
PTP,VC965,PCCF18BAF,
PTC,VC965,PC7E9E8F3,
PTE,VC965,PCDB42B34,
PTE,VCB43,PC2EBEAB9,
PTP,VCD2F,PC6A1B37B,
PTC,VC965,PC857F4A0,
PTE,VC965,PCEECA8B2,
